+-----+-----------------+--------------+
|     |       Name      | Resent Price |
+-----+-----------------+--------------+
|  1  |     bitcoin     |   8,679.581  |
|  2  |     ethereum    |   185.12523  |
|  3  |     litecoin    |   59.435195  |
|  4  |       eos       |   3.4093137  |
|  5  |   bitcoincash   |   278.81718  |
|  6  |      ripple     |  0.26898021  |
|  7  |       neo       |   12.695501  |
|  8  |       tron      |  0.01935546  |
|  9  | ethereumclassic |   4.7342963  |
|  10 |        zb       |  0.28495064  |
|  11 |       dash      |   69.126189  |
|  12 |      monero     |   65.379580  |
|  13 |       qtum      |   2.2935307  |
|  14 |    bitcoinsv    |   126.85277  |
|  15 |    chainlink    |   3.1381026  |
|  16 |  stellarlumens  |  0.07342925  |
|  17 |    huobitoken   |   3.7888975  |
|  18 |      cosmos     |   3.9520737  |
|  19 |   binancecoin   |   21.055101  |
|  20 |     ontology    |  0.88340776  |
|  21 |     vsystems    |  0.07759545  |
|  22 |  paxosstandard  |   1.0049219  |
|  23 |      zcash      |   36.603703  |
|  24 |     algorand    |  0.28217318  |
|  25 |     omisego     |  0.99067686  |
|  26 |      fabrk      |  0.00538134  |
|  27 |      tezos      |   1.2090656  |
|  28 |      aurora     |  0.00850598  |
|  29 |     abbccoin    |  0.22575590  |
|  30 |     irisnet     |  0.02525758  |
|  31 |      seele      |  0.13262399  |
|  32 |     cardano     |  0.04261674  |
|  33 |  forceprotocol  |  0.03775617  |
|  34 |       bat       |  0.26038743  |
|  35 |      lambda     |  0.04114121  |
|  36 |  molecularcoin  |  0.85936532  |
|  37 |       grin      |   1.4866387  |
|  38 |       beam      |  0.73533411  |
|  39 |     vechain     |  0.00711725  |
|  40 |    aeternity    |  0.23322034  |
|  41 |     opennity    |  0.00060757  |
|  42 |       eden      |  0.00190950  |
|  43 |      status     |  0.01275898  |
|  44 |    truechain    |  0.32270682  |
|  45 |   unlimitedip   |  0.01119665  |
|  46 |   truefeedback  |  0.00043397  |
|  47 |       okb       |   3.2747192  |
|  48 |      swipe      |   1.2784155  |
|  49 |      utrust     |  0.01892148  |
|  50 |       nem       |  0.03983927  |
|  51 |  cryptocomchain |  0.03923170  |
|  52 |      waves      |  0.76753535  |
|  53 |     dogecoin    |  0.00260387  |
|  54 |    bittorrent   |  0.00034718  |
|  55 |    gamexcoin    |  0.58552454  |
|  56 |      bytom      |  0.11396290  |
|  57 |      origo      |  0.01883469  |
|  58 |      quant      |   6.6312868  |
|  59 |     iostoken    |  0.00633609  |
|  60 |    moviebloc    |  0.00173591  |
|  61 |     riftoken    |  0.08853172  |
|  62 |     precium     |  0.03463152  |
|  63 |      mixin      |   256.46687  |
|  64 |    bitcoinhd    |   5.8237385  |
|  65 |    tigercash    |  0.02221972  |
|  66 |        0x       |  0.28720733  |
|  67 |     arcblock    |  0.22315203  |
|  68 |     nebulas     |  0.62241276  |
|  69 |   wholenetwork  |  0.00954753  |
|  70 |    hypercash    |   1.8278330  |
|  71 |  measurabledata |  0.01284578  |
|  72 |       f1zz      |  0.00677007  |
|  73 |    platincoin   |   6.7909911  |
|  74 |      tether     |   1.0035332  |
|  75 |      cortex     |  0.13002012  |
|  76 |   maticnetwork  |  0.01579683  |
|  77 |      planet     |  0.30092107  |
|  78 |       coti      |  0.00824560  |
|  79 |     tierion     |  0.07915777  |
|  80 |    functionx    |  0.10554370  |
|  81 |       cred      |  0.02213293  |
|  82 |     insolar     |  0.18496187  |
|  83 |     chromia     |  0.02256691  |
|  84 |  onerootnetwork |  0.01076268  |
|  85 |      gomics     |  0.33294873  |
|  86 |    pledgecoin   |  0.00789841  |
|  87 |    bgogotoken   |  0.00095475  |
|  88 |   insightchain  |  0.61746540  |
|  89 |    tomochain    |  0.36879540  |
|  90 |       mxc       |  0.00190950  |
|  91 |    thetatoken   |  0.08844493  |
|  92 |     fetchai     |  0.04331110  |
|  93 |       nexo      |  0.10502293  |
|  94 |   bitcoingold   |   8.1426017  |
|  95 |       dvp       |  0.00807201  |
|  96 |    holotoken    |  0.00095475  |
|  97 |      bezant     |  0.00399260  |
|  98 |       vidy      |  0.00164912  |
|  99 |     youchain    |  0.05928153  |
| 100 |     dprating    |  0.00008679  |
+-----+-----------------+--------------+
